    np2    ns2
   1226   1597
 Face:           1
      1224       612      1225
       945       782       781
       110       945       946
       111       110       946
       621       620       479
       616       615      1224
      1225      1226       462
       612       611      1225
       613       612      1224
       945       944       782
       110       109       945
       478       621       479
       615       614      1224
       462      1226       463
      1225       607      1226
       611       610      1225
       614       613      1224
       944       943       782
       109       944       945
       622       621       478
       463      1226       856
       607       606      1226
       608       607      1225
       610       609      1225
       943       783       782
       108       943       944
       109       108       944
       477       622       478
       601       856      1226
       463       856         1
       606       605      1226
       609       608      1225
       943       942       783
       108       107       943
       623       622       477
       602       601      1226
       601       600       856
         1       856        11
       605       604      1226
       942       941       783
       107       942       943
       476       623       477
       603       602      1226
       600       599       856
       856       857        11
       604       603      1226
       941       784       783
       106       941       942
       107       106       942
       624       623       476
       599       676       856
        12        11       857
       857       856       670
       941       940       784
       106       105       941
       475       624       476
       856       676       675
       599       598       676
        13        12       857
       856       671       670
       857       670       669
       940       939       784
       105       940       941
       625       624       475
       856       675       674
       598       677       676
        13       857       858
       856       672       671
       857       669       668
       939       785       784
       104       939       940
       105       104       940
       474       625       475
       856       674       673
       598       678       677
       858       857       665
       858        14        13
       856       673       672
       857       668       667
       939       938       785
       104       103       939
       473       625       474
       598       597       678
       857       666       665
       858       665       664
        15        14       858
       857       667       666
       938       937       785
       103       938       939
         5       625       473
       597       679       678
       859       858       664
        15       858       859
       937       786       785
       102       937       938
       103       102       938
       597       596       679
       859       664       663
       859        16        15
       937       936       786
       102       101       937
       596       595       679
       860       859       663
        17        16       859
       936       935       786
       101       936       937
       595       680       679
       861       860       663
        17       859       860
       935       787       786
       100       935       936
       101       100       936
       595       594       680
       861       663       662
        20       860       861
        18        17       860
       935       934       787
       100        99       935
       594       681       680
       862       861       662
        21        20       861
        20        19       860
        19        18       860
       934       933       787
        99       934       935
       594       593       681
       862       662       661
        21       861       862
       933       788       787
        98       933       934
        99        98       934
       593       682       681
       863       862       661
       862        22        21
       933       932       788
        98        97       933
       593       592       682
       863       661       660
        24       862       863
        23        22       862
       932       931       788
        97       932       933
       592       683       682
       864       863       660
        25        24       863
        24        23       862
       931       789       788
        96       931       932
        97        96       932
       592       684       683
       865       864       660
        26       863       864
        26        25       863
       931       930       789
        96        95       931
       592       591       684
       865       660       659
        27       864       865
        27        26       864
       930       929       789
        95       930       931
       591       685       684
       866       865       659
        28        27       865
       929       790       789
        94       929       930
        95        94       930
       591       590       685
       867       866       659
        28       865       866
       929       928       790
        94        93       929
       590       589       685
       867       659       658
        29       866       867
        29        28       866
       928       927       790
        93       928       929
       589       686       685
       868       867       658
        30        29       867
       927       791       790
        92       927       928
        93        92       928
       589       687       686
       869       868       658
        30       867       868
       927       926       791
        92        91       927
       589       588       687
       869       658       657
        31       868       869
        31        30       868
       926       925       791
        91       926       927
       588       587       687
       870       869       657
        32        31       869
       925       792       791
        90       925       926
        91        90       926
       587       688       687
       870       657       656
        33       869       870
        33        32       869
       925       924       792
        90        89       925
       587       586       688
       871       870       656
        34        33       870
       924       923       792
        89       924       925
       586       689       688
       872       871       656
        34       870       871
       923       793       792
        88       923       924
        89        88       924
       586       690       689
       872       656       655
        35       871       872
        35        34       871
       923       922       793
        88        87       923
       586       585       690
       873       872       655
        36        35       872
       922       921       793
        87       922       923
       585       584       690
       874       873       655
        37       872       873
        37        36       872
       921       794       793
        86       921       922
        87        86       922
       584       691       690
       874       655       654
        38       873       874
        38        37       873
       921       920       794
        86        85       921
       584       583       691
       875       874       654
        39        38       874
       920       919       794
        85       920       921
       583       692       691
       876       875       654
        39       874       875
       919       918       794
        84       919       920
        85        84       920
       583       693       692
       876       654       653
        40       875       876
        40        39       875
       918       795       794
        83       918       919
        84        83       919
       582       693       583
       877       876       653
        41        40       876
       918       917       795
        83        82       918
       638       693       582
       878       877       653
        41       876       877
       917       916       795
        82       917       918
       581       638       582
       638       637       693
       878       653       652
        42       877       878
        42        41       877
       916       796       795
        81       916       917
        82        81       917
       639       638       581
       637       694       693
       879       878       652
        43        42       878
       916       915       796
        81        80       916
       580       639       581
       637       695       694
       880       879       652
        43       878       879
       915       914       796
        80       915       916
       579       639       580
       637       696       695
       880       652       651
        44       879       880
        44        43       879
       914       797       796
        79       914       915
        80        79       915
       640       639       579
       637       636       696
       881       880       651
        45        44       880
       914       913       797
        79        78       914
       578       640       579
       636       697       696
       882       881       651
        45       880       881
       913       912       797
        78       913       914
       577       640       578
       636       698       697
       883       882       651
        46       881       882
        46        45       881
       912       798       797
        77       912       913
        78        77       913
       576       640       577
       636       635       698
       883       651       650
        47       882       883
